grades,students,yahal,grad_year,subject,city,school_name,school_id,supervision,sector,district
74.51,72,2,2018,אזרחות              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
73.88,24,3,2018,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
76.54,35,4,2018,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
85.2,15,5,2018,אנגלית              ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
72.4,45,5,2018,ביולוגיה            ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
82.31,36,2,2018,הסטוריה לבי'ס ערבי  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
88.54,35,5,2018,הסטוריה לבי'ס ערבי  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
78.89,18,5,2018,כימיה               ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
74.48,25,5,2018,מדעי לימודי הסביבה  ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
68.43,46,3,2018,מתמטיקה             ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
71.64,22,4,2018,מתמטיקה             ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
71.48,66,3,2018,עברית לבי'ס ערבי    ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
77.89,72,3,2018,ערבית לערבים        ,אבו גוש             ,מקיף אבו גוש        ,148080,כללי       ,ערבי ,ירושלים       
75,32,2,2018,אזרחות              ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
88.75,24,5,2018,אנגלית              ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
74.78,32,2,2018,הבעה עברית          ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
82.58,24,2,2018,הסטוריה             ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
76.84,32,2,2018,מחשבת ישראל וספרות  ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
80.67,18,3,2018,מתמטיקה             ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
80.84,32,5,2018,תושבע'פ ותלמוד      ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
84.42,26,3,2018,תנ'ך                ,אפרתה               ,"ישיבת בנ""ע אורות    ",142174,דתי        ,יהודי,ירושלים       
83.33,54,2,2018,אזרחות              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
77.79,14,3,2018,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
85.43,21,4,2018,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
91.42,19,5,2018,אנגלית              ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
70.81,54,2,2018,הבעה עברית          ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
82.65,54,2,2018,הסטוריה             ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
83.88,16,5,2018,למודי ארץ ישראל וארכ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
85.65,49,2,2018,מחשבת ישראל וספרות  ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
82.36,11,5,2018,מערכות תקשוב        ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
81.76,33,3,2018,מתמטיקה             ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
81.93,15,4,2018,מתמטיקה             ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
80.57,54,5,2018,תושבע'פ ותלמוד      ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
80.56,27,3,2018,תנ'ך                ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
83.15,27,5,2018,תנ'ך                ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
85.09,11,5,2018,תשתיות מחשוב ותקשוב ,בית אל              ,ישיבת בנע מטה בנימין,140939,דתי        ,יהודי,ירושלים       
68.96,71,2,2018,אזרחות              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
74.87,31,4,2018,אנגלית              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
87.08,26,5,2018,אנגלית              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
72.74,69,2,2018,הבעה עברית          ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
74.3,71,2,2018,הסטוריה             ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
71.29,17,5,2018,חקלאות              ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
93.72,47,5,2018,מדע וטכנולוגיה לכל  ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
80.1,69,2,2018,מחשבת ישראל וספרות  ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
84.1,39,3,2018,מתמטיקה             ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
90.23,26,4,2018,מתמטיקה             ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
82.32,69,5,2018,תושבע'פ ותלמוד      ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
76.8,20,3,2018,תנ'ך                ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
83.29,49,5,2018,תנ'ך                ,בית אל              ,ישיבת בני צבי בית אל,141739,דתי        ,יהודי,ירושלים       
