city_x,city_y,city
3878046.377,3744646.007,גני יוחנן
3886583.621,3758490.615,גינתון
3887843.616,3740920.431,בקוע
3852502.984,3684333.683,שיבולים
3903203.827,3490059.528,יטבתה
3896596.019,3830502.218,אלוני יצחק
3887453.921,3776198.879,גבעת השלושה
3889398.896,3774192.481,עינת
3885231.483,3814918.857,גאולי תימן
3870316.499,3706271.24,שלווה
3889645.673,3797219.046,כפר עבודה
3881859.499,3812828.738,בית חירות
3889051.75,3799295.912,עין שריד
3878538.238,3767891.325,רמת פנקס
3873217.493,3616064.676,שדה בוקר
3906834.034,3734246.743,איתנים
3873036.686,3730482.929,"כפר הרי""ף"
3905895.939,3862513.826,כפר חסידים ב'
3907223.942,3861208.086,כפר הנוער הדתי
3916485.014,3901864.118,עבדון
3940552.461,3853725.664,שבלי - אום אל-גנם
3829640.201,3664944.881,ישע
3924315.365,3877517.016,שגב
3890362.157,3720123.976,גבעת ישעיהו
3898047.475,3822638.792,שער מנשה
3907504.342,3862430.415,רכסים
3914661.819,3836701.667,ביאדה
3914851.295,3864459.614,סואעד (חמרייה)
3912592.456,3860940.84,בסמת טבעון
3921021.55,3858899.101,זרזיר
3917480.883,3861797.297,כעביה-טבאש-חג'אג'רה
3950714.467,3872739.882,חמאם
3917640.456,3856280.236,מנשית זבדה
3929908.337,3866053.83,רומת הייב
3920994.524,3866595.437,ביר אל-מכסור
3912939.042,3737108.313,מבשרת ציון
3887282.566,3830376.056,אור עקיבא
3881140.31,3793193.445,חרוצים
3851403.454,3701237.662,שדרות
3867941.572,3728250.311,קריית מלאכי
3892250.196,3798475.682,יעף
3931154.338,3906683.992,שתולה
3832957.112,3663563.643,אוהד
3940170.009,3882830.264,חזון
3877810.157,3769477.955,רמת אפעל
3886963.7,3748772.916,בית חשמונאי
3832657.488,3662433,תלמי אליהו
3903009.403,3499634.101,קטורה
3880617.085,3665005.135,תל שבע
3936743.56,3652569.951,נווה זוהר
3831562.488,3662661.974,שדה ניצן
3905092.725,3664571.553,כסיפה
3881127.831,3674878.303,לקיה
3932107.984,3857470.131,נצרת עילית
3882155.339,3766628.86,נווה אפרים
3927588.098,3897671.047,מעלות-תרשיחא
3946211.337,3887093.12,אמירים
3869490.493,3735661.506,"בני עי""ש"
